seed,mode,all_cleared,cleared_count,total_count,virtual_time_s,program_runtime_s,improvement_vs_complete_pct,termination_reason
40260912,complete,True,15,15,9268.400878629667,0.573541199999454,0.0,all_cleared
40260912,planner,True,15,15,9302.947952008639,3.4038801999995485,-0.3727403878119631,all_cleared
40260912,ppo,True,15,15,14371.861847712318,3.5326662000006763,-55.0630150326126,all_cleared
40260912,hybrid,True,15,15,9302.947952008639,1.0089431999986118,-0.3727403878119631,all_cleared
40260913,complete,True,13,13,7275.563690230371,0.5319999999992433,0.0,all_cleared
40260913,planner,True,13,13,7447.187426065302,2.494921699999395,-2.358906376771702,all_cleared
40260913,ppo,True,13,13,11157.865425631491,2.484415300001274,-53.36083773982043,all_cleared
40260913,hybrid,True,13,13,7447.187426065302,0.7069869000006292,-2.358906376771702,all_cleared
40260914,complete,True,10,10,6948.960064245156,0.2938011000005645,0.0,all_cleared
40260914,planner,True,10,10,7350.387179068124,1.981645200001367,-5.77679409741397,all_cleared
40260914,ppo,True,10,10,13436.666382522999,2.1236742999972194,-93.36226224207812,all_cleared
40260914,hybrid,True,10,10,7350.387179068124,0.6990421000009519,-5.77679409741397,all_cleared
40260915,complete,True,12,12,6857.286778318113,0.38118170000234386,0.0,all_cleared
40260915,planner,True,12,12,6857.286778318113,1.9601658999999927,0.0,all_cleared
40260915,ppo,True,12,12,12367.296629766664,2.0504622000007657,-80.35262385219934,all_cleared
40260915,hybrid,True,12,12,6857.286778318113,0.6136886999993294,0.0,all_cleared
