prior_draws,runtime_s,posterior_retained_draws,posterior_ess,acceptance_rate,strategy,q_x,q_y,psi_d_m,u_proxy_m,u_bar_m,movement_m,in_c_rec_certified,q_displacement_m,psi_abs_change_m,psi_relative_change,u_proxy_abs_change_m,u_proxy_relative_change,u_bar_abs_change_m,u_bar_relative_change
10000,8.914249699999345,41,30.7520661157025,0.0041,pure_bayesian,0.0,300.0,14.413521885322192,53.0405779312965,165.31281892191842,948.6832980505138,True,,,,,,,
10000,8.914249699999345,41,30.7520661157025,0.0041,pure_minimax,-84.85281374238569,-515.1471862576143,19.357895827921396,32.09597161003339,148.06832012615476,964.2829246506665,True,,,,,,,
10000,8.914249699999345,41,30.7520661157025,0.0041,hybrid,-120.0,300.0,15.898839777252743,34.07694199553063,204.72059618287753,835.7032966310471,True,,,,,,,
30000,10.966563699999824,84,63.81012658227834,0.0028,pure_bayesian,-120.0,300.0,24.753156366763328,58.35335359340592,204.72059618287753,835.7032966310471,True,120.0,10.339634481441136,0.7173565602984485,5.3127756621094235,0.10016436225470744,39.40777726095911,0.23838306985480923
30000,10.966563699999824,84,63.81012658227834,0.0028,pure_minimax,-2.2043642384652355e-14,480.0,25.500407703332108,44.51891748114566,1501.4290277449795,1020.0,False,998.7581901123249,6.142511875410712,0.31731299362355747,12.422945871112269,0.387056233163815,1353.3607076188248,9.140109825422186
30000,10.966563699999824,84,63.81012658227834,0.0028,hybrid,-2.2043642384652355e-14,480.0,25.500407703332108,44.51891748114566,1501.4290277449795,1020.0,False,216.33307652783935,9.601567926079365,0.6039162643689764,10.441975485615025,0.3064234897305205,1296.708431562102,6.334039934134172
60000,15.164610100000573,158,119.75257731958732,0.0026333333333333334,pure_bayesian,-40.0,300.0,31.963046348423838,70.27141693900806,175.69135433595434,910.823802938856,True,80.0,7.20988998166051,0.29127154027683544,11.918063345602143,0.20423956142511943,29.029241846923185,-0.141799322531238
60000,15.164610100000573,158,119.75257731958732,0.0026333333333333334,pure_minimax,-28.28427124746191,571.7157287525381,35.539217770311495,44.51891748114566,1501.4290277449795,1042.471671681113,False,95.97799175128193,10.038810066979387,0.3936725319755428,0.0,0.0,0.0,0.0
60000,15.164610100000573,158,119.75257731958732,0.0026333333333333334,hybrid,-2.2043642384652355e-14,480.0,33.64579653805047,47.18544123065651,1501.4290277449795,1020.0,False,0.0,8.14538883471836,0.31942190609187837,2.6665237495108514,0.059896419328708046,0.0,0.0
100000,18.211375700000644,256,194.96341463414637,0.00256,pure_bayesian,-2.2043642384652355e-14,480.0,38.61712802411953,47.18544123065651,1501.4290277449795,1020.0,False,184.39088914585776,6.654081675695693,0.2081804594956519,23.085975708351555,-0.3285258318953349,1325.737673409025,7.545833307619507
100000,18.211375700000644,256,194.96341463414637,0.00256,pure_minimax,-7.347880794884118e-15,560.0,39.722602304699876,46.46563232168726,1501.4290277449795,1060.0,False,30.614674589207183,4.183384534388381,0.11771177861666578,1.9467148405416026,0.0437278116963662,0.0,0.0
100000,18.211375700000644,256,194.96341463414637,0.00256,hybrid,-2.2043642384652355e-14,480.0,38.61712802411953,47.18544123065651,1501.4290277449795,1020.0,False,0.0,4.971331486069062,0.14775490544404019,0.0,0.0,0.0,0.0
