strategy,q_x,q_y,psi_d_m,u_proxy_m,u_bar_m,movement_m,in_c_rec_certified
pure_bayesian,7.34788079488412e-15,-480.0,43.451026261025675,84.45151812187287,1501.4290277449795,1020.0,False
pure_minimax,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
hybrid_rho_0.10,120.0,-600.0,44.93619767338576,60.51754112285326,1501.4290277449795,1183.3849753989612,False
vertical_plus,-900.0,1183.3849753989612,1206.091184023001,1414.219392648331,1501.4290277449795,1183.3849753989612,False
vertical_minus,-900.0,-1183.3849753989612,1207.6152243336944,1414.219392648331,1501.4290277449795,1183.3849753989612,False
