source_count,seed,mode,strategy,all_cleared,cleared_count,clearance_ratio,total_time_s,per_source_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
10,70260929,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6738.308726230309,673.8308726230309,0.8228667000003043,all_cleared,,,5964.308726230308,635.0,89.0,50.0
10,70260930,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6676.5264224991915,667.6526422499192,0.9539760999978171,all_cleared,,,5860.526422499191,670.0,96.0,50.0
10,70260931,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6456.757632392894,645.6757632392894,0.8246921999998449,all_cleared,,,5577.757632392894,725.0,104.0,50.0
12,70261912,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7297.507023716489,608.1255853097074,0.9637015000007523,all_cleared,,,6456.507023716489,690.0,91.0,60.0
12,70261913,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7543.8088533214395,628.6507377767866,0.9095062000014877,all_cleared,,,6728.8088533214395,665.0,90.0,60.0
12,70261914,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7417.073786865623,618.0894822388019,0.8272219999998924,all_cleared,,,6677.073786865622,600.0,80.0,60.0
12,70261915,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,6994.264954213166,582.8554128510972,0.7180781999995816,all_cleared,,,6214.264954213166,635.0,85.0,60.0
12,70261916,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7324.693800918889,610.391150076574,0.856983499998023,all_cleared,,,6500.693800918888,680.0,84.0,60.0
12,70261917,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7679.280732753326,639.9400610627772,0.9301473999985319,all_cleared,,,6967.280732753325,575.0,77.0,60.0
12,70261918,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7632.420207411121,636.0350172842601,0.9006012000027113,all_cleared,,,6838.420207411122,650.0,84.0,60.0
12,70261919,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7313.33015218178,609.4441793484817,0.9188714000010805,all_cleared,,,6483.33015218178,685.0,85.0,60.0
12,70261920,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,6967.3749291873755,580.6145774322813,0.8357298000009905,all_cleared,,,6166.3749291873755,655.0,86.0,60.0
12,70261921,legacy_ppo_planner,对照组_旧PPO辅助规划,True,12,1.0,7332.058853842598,611.0049044868832,0.833092900000338,all_cleared,,,6641.058853842598,560.0,71.0,60.0
