策略及组别,清除比例,平均每源虚拟时间_s,平均每场总虚拟时间_s,全部场次累计虚拟时间_s,获证全清除场次,场次
实验组_当前策略_集中测量与联合路线,1.0,257.2131538164539,3264.1845920333626,261134.767362669,80,80
对照组_普查后清除,1.0,313.7783883436104,3987.0602326403177,318964.8186112254,80,80
对照组_螺旋扫描,1.0,489.72019133549395,6149.25080448142,491940.0643585136,80,80
对照组_随机游走,0.9977083333333333,,17798.91316050604,1423913.0528404831,53,80
对照组_上帝视角,1.0,144.7394966278635,1854.3836190968025,148350.6895277442,80,80
对照组_旧PPO辅助规划,1.0,608.091382819857,7810.259997683622,624820.7998146898,80,80
