source_count,seed,mode,all_cleared,cleared_count,total_time_s,per_source_s,program_runtime_s,termination_reason,movement_s,measurement_s,switching_s,clearance_s
10,70260912,complete,True,10,6493.89958335125,649.389958335125,0.27240969999911613,all_cleared,5709.89958335125,645.0,89.0,50.0
10,70260912,hybrid,True,10,6561.189863137363,656.1189863137363,0.788234999999986,all_cleared,5820.189863137363,605.0,86.0,50.0
10,70260912,efficient,True,10,2965.309827866459,296.5309827866459,0.3562769999989541,all_cleared,2133.309827866458,660.0,122.0,50.0
10,70260913,complete,True,10,6041.128601444617,604.1128601444617,0.3031255999994755,all_cleared,5208.128601444616,690.0,93.0,50.0
10,70260913,hybrid,True,10,6256.564848855903,625.6564848855903,0.9395714999991469,all_cleared,5436.564848855904,675.0,95.0,50.0
10,70260913,efficient,True,10,3291.493467246473,329.1493467246473,0.29680369999914546,all_cleared,2444.493467246473,670.0,127.0,50.0
10,70260914,complete,True,10,6703.152106267332,670.3152106267332,0.28399999999965075,all_cleared,5869.152106267332,690.0,94.0,50.0
10,70260914,hybrid,True,10,7080.748555782145,708.0748555782145,0.9122641000030853,all_cleared,6251.748555782145,680.0,99.0,50.0
10,70260914,efficient,True,10,3094.3747612000425,309.43747612000425,0.49654369999916526,all_cleared,2190.3747612000425,720.0,134.0,50.0
10,70260915,complete,True,10,6676.9628373656,667.69628373656,0.35208570000031614,all_cleared,5809.9628373656005,720.0,97.0,50.0
10,70260915,hybrid,True,10,6794.602635146684,679.4602635146684,0.7649519000005967,all_cleared,5951.6026351466835,695.0,98.0,50.0
10,70260915,efficient,True,10,3201.6197498761635,320.16197498761636,0.43922489999749814,all_cleared,2319.6197498761635,700.0,132.0,50.0
10,70260916,complete,True,10,6966.672648220132,696.6672648220132,0.37788240000008955,all_cleared,6151.672648220132,675.0,90.0,50.0
10,70260916,hybrid,True,10,6852.190653361236,685.2190653361237,0.7635594999992463,all_cleared,6066.190653361236,645.0,91.0,50.0
10,70260916,efficient,True,10,2898.286473157588,289.82864731575876,0.3564650000007532,all_cleared,2103.2864731575883,630.0,115.0,50.0
10,70260917,complete,True,10,6396.679781217938,639.6679781217938,0.263140499999281,all_cleared,5631.679781217938,625.0,90.0,50.0
10,70260917,hybrid,True,10,6856.132819341937,685.6132819341937,1.080826999997953,all_cleared,6101.132819341937,615.0,90.0,50.0
10,70260917,efficient,True,10,3192.2684848394365,319.2268484839436,0.8666352000000188,all_cleared,2260.2684848394374,745.0,137.0,50.0
10,70260918,complete,True,10,6476.320466439149,647.6320466439149,0.45225849999769707,all_cleared,5704.320466439148,635.0,87.0,50.0
10,70260918,hybrid,True,10,6751.193121809436,675.1193121809436,1.0169558000015968,all_cleared,5983.193121809437,630.0,88.0,50.0
10,70260918,efficient,True,10,2951.5720562844676,295.1572056284468,0.49504779999915627,all_cleared,2147.5720562844685,635.0,119.0,50.0
10,70260919,complete,True,10,6627.5336332014695,662.753363320147,0.35693840000021737,all_cleared,5811.5336332014695,680.0,86.0,50.0
10,70260919,hybrid,True,10,6617.278257876699,661.7278257876699,0.8553515999992669,all_cleared,5825.278257876699,655.0,87.0,50.0
10,70260919,efficient,True,10,2921.435638434083,292.1435638434083,0.33591750000050524,all_cleared,2126.4356384340836,625.0,120.0,50.0
10,70260920,complete,True,10,6335.7716059769655,633.5771605976965,0.2675655999992159,all_cleared,5566.7716059769655,635.0,84.0,50.0
10,70260920,hybrid,True,10,6361.851716022022,636.1851716022022,0.8401641000018572,all_cleared,5607.851716022023,615.0,89.0,50.0
10,70260920,efficient,True,10,2858.5319385384255,285.8531938538425,0.42862310000055004,all_cleared,1933.5319385384253,735.0,140.0,50.0
10,70260921,complete,True,10,6823.0737131638225,682.3073713163823,0.3486016999995627,all_cleared,6015.0737131638225,670.0,88.0,50.0
10,70260921,hybrid,True,10,6885.942841503526,688.5942841503527,1.274931399999332,all_cleared,6067.942841503527,675.0,93.0,50.0
10,70260921,efficient,True,10,3149.655693441273,314.9655693441273,0.7391664000024321,all_cleared,2226.655693441273,735.0,138.0,50.0
10,70260922,complete,True,10,6908.1492133980655,690.8149213398066,0.6288166999984242,all_cleared,6019.149213398065,740.0,99.0,50.0
10,70260922,hybrid,True,10,7013.282681718403,701.3282681718404,1.743449800000235,all_cleared,6138.282681718402,725.0,100.0,50.0
10,70260922,efficient,True,10,3052.6253290596624,305.2625329059662,0.6709813999987091,all_cleared,2168.625329059662,700.0,134.0,50.0
10,70260923,complete,True,10,6340.086340501193,634.0086340501193,0.5634640000025684,all_cleared,5542.086340501193,655.0,93.0,50.0
