seed,mode,all_cleared,cleared_count,total_count,virtual_time_s,program_runtime_s,improvement_vs_complete_pct,termination_reason
50260912,complete,True,12,12,6997.455629489974,0.2407102000033774,0.0,all_cleared
50260912,planner,True,12,12,7646.220213679997,0.6588085999974282,-9.271435483718955,all_cleared
50260912,ppo,True,12,12,10034.761678860577,0.9827231000017491,-43.40586364806981,all_cleared
50260912,hybrid,True,12,12,6867.681620360356,0.931335900000704,1.8545885247589216,all_cleared
50260913,complete,True,16,16,9109.897255214619,0.5955180999990262,0.0,all_cleared
50260913,planner,True,16,16,9560.220485010692,1.5964051999981166,-4.943230611501161,all_cleared
50260913,ppo,True,16,16,10893.812081684096,1.2442186000007496,-19.582161867394746,all_cleared
50260913,hybrid,True,16,16,8779.118368909252,1.1003311000022222,3.6309837206563946,all_cleared
50260914,complete,True,13,13,8073.6681574406975,0.5878765999987081,0.0,all_cleared
50260914,planner,True,13,13,7819.705330970144,1.063299500001449,3.1455692941318265,all_cleared
50260914,ppo,True,13,13,12226.859432479274,1.0846033000016178,-51.44119369348854,all_cleared
50260914,hybrid,True,13,13,7921.6326953090975,1.3540996999981871,1.8831026884785214,all_cleared
50260915,complete,True,15,15,7984.149637078991,0.6404149000009056,0.0,all_cleared
50260915,planner,True,15,15,7685.152869678408,1.0502668999979505,3.744879304516282,all_cleared
50260915,ppo,True,15,15,12394.228362159982,1.1581194999998843,-55.2354217486137,all_cleared
50260915,hybrid,True,15,15,7826.734855904463,1.0827166000017314,1.9715910689283904,all_cleared
50260916,complete,True,16,16,9408.576101043447,0.7111084000025585,0.0,all_cleared
50260916,planner,True,16,16,10280.66148678356,1.4193926000007195,-9.269047477262738,all_cleared
50260916,ppo,True,16,16,12890.961402803096,1.3497059000001173,-37.01288339872639,all_cleared
50260916,hybrid,True,16,16,8818.508483560332,1.1323486999972374,6.2715931841979184,all_cleared
50260917,complete,True,13,13,8273.993655956549,0.696850500000437,0.0,all_cleared
50260917,planner,True,13,13,8527.77535617131,1.1859070999998949,-3.0672213536453663,all_cleared
50260917,ppo,True,13,13,13678.25486369048,1.2117073999979766,-65.31623581610239,all_cleared
50260917,hybrid,True,13,13,8173.3783756688035,1.163050999999541,1.2160425118928009,all_cleared
50260918,complete,True,16,16,9727.526997104676,0.5589087999978801,0.0,all_cleared
50260918,planner,True,16,16,8951.950364224798,1.2414309000014327,7.973009307614593,all_cleared
50260918,ppo,True,16,16,12476.742990427729,1.1873838999999862,-28.26222938411104,all_cleared
50260918,hybrid,True,16,16,9218.372708572935,1.290015200000198,5.234159603805645,all_cleared
50260919,complete,True,12,12,7100.696600533537,0.4591158999974141,0.0,all_cleared
50260919,planner,True,12,12,6635.710071380085,0.9068530000004102,6.548463556639132,all_cleared
50260919,ppo,True,12,12,9376.259344429693,0.9127918999984104,-32.04703526869706,all_cleared
50260919,hybrid,True,12,12,6990.885519831974,0.8802529000022332,1.5464832097362353,all_cleared
50260920,complete,True,14,14,8047.1553553046315,0.5812871999987692,0.0,all_cleared
50260920,planner,True,14,14,8215.419019672112,1.066815599999245,-2.090970746035892,all_cleared
50260920,ppo,True,14,14,11025.014927894339,1.2344932000014524,-37.005120954036535,all_cleared
50260920,hybrid,True,14,14,8084.059299061403,0.9246947999999975,-0.45859613897530715,all_cleared
50260921,complete,True,15,15,8389.288928533604,0.535852299999533,0.0,all_cleared
50260921,planner,True,15,15,8107.022234806209,0.9134885999992548,3.364608086954203,all_cleared
50260921,ppo,True,15,15,12550.968176797816,0.8688352999997733,-49.607055898498515,all_cleared
50260921,hybrid,True,15,15,8107.022234806209,1.0272179999992659,3.364608086954203,all_cleared
50260922,complete,True,13,13,8313.307639408622,0.455856099997618,0.0,all_cleared
50260922,planner,True,13,13,8060.228029676658,0.7550203999999212,3.044270953383936,all_cleared
50260922,ppo,True,13,13,11371.448492399315,0.9328427000000374,-36.78609027403006,all_cleared
50260922,hybrid,True,13,13,8161.297794247785,0.7997609000012744,1.8285122090303247,all_cleared
50260923,complete,True,15,15,8680.985290062295,0.42615160000059404,0.0,all_cleared
50260923,planner,True,15,15,8875.19154195173,0.9530575999997382,-2.2371452709608364,all_cleared
50260923,ppo,True,15,15,11806.934500137135,0.9003646000019216,-36.009152252029764,all_cleared
50260923,hybrid,True,15,15,8192.824694372963,0.7364871999998286,5.623331676971769,all_cleared
