source_count,seed,mode,strategy,all_cleared,cleared_count,clearance_ratio,total_time_s,per_source_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
10,70260912,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6561.189863137363,656.1189863137363,0.7851640000008047,all_cleared,,,5820.189863137363,605.0,86.0,50.0
10,70260913,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6256.564848855903,625.6564848855903,0.7029025999981968,all_cleared,,,5436.564848855904,675.0,95.0,50.0
10,70260914,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,7080.748555782145,708.0748555782145,0.8136787999974331,all_cleared,,,6251.748555782145,680.0,99.0,50.0
10,70260915,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6794.602635146684,679.4602635146684,0.7420616999988852,all_cleared,,,5951.6026351466835,695.0,98.0,50.0
10,70260916,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6852.190653361236,685.2190653361237,0.843540199999552,all_cleared,,,6066.190653361236,645.0,91.0,50.0
10,70260917,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6856.132819341937,685.6132819341937,0.7520739999999932,all_cleared,,,6101.132819341937,615.0,90.0,50.0
10,70260918,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6751.193121809436,675.1193121809436,0.7725597000026028,all_cleared,,,5983.193121809437,630.0,88.0,50.0
10,70260919,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6617.278257876699,661.7278257876699,0.7755108999990625,all_cleared,,,5825.278257876699,655.0,87.0,50.0
10,70260920,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6361.851716022022,636.1851716022022,0.7652253999985987,all_cleared,,,5607.851716022023,615.0,89.0,50.0
10,70260921,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6885.942841503526,688.5942841503527,0.7817674000034458,all_cleared,,,6067.942841503527,675.0,93.0,50.0
10,70260922,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,7013.282681718403,701.3282681718404,0.7813205000020389,all_cleared,,,6138.282681718402,725.0,100.0,50.0
10,70260923,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6941.847210397843,694.1847210397843,0.849721700000373,all_cleared,,,6151.847210397843,645.0,95.0,50.0
10,70260924,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6893.103522913794,689.3103522913794,0.8932220000024245,all_cleared,,,6137.103522913795,615.0,91.0,50.0
10,70260925,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6629.024377286601,662.9024377286601,0.9217457999984617,all_cleared,,,5809.024377286603,675.0,95.0,50.0
10,70260926,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,7044.340286943348,704.4340286943348,1.0197576999999,all_cleared,,,6229.340286943347,675.0,90.0,50.0
10,70260927,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6707.750369187894,670.7750369187894,0.8474741999998514,all_cleared,,,5944.750369187894,620.0,93.0,50.0
10,70260928,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6882.474374208451,688.2474374208451,0.9632786999973177,all_cleared,,,6095.474374208451,650.0,87.0,50.0
10,70260929,legacy_ppo_planner,对照组_旧PPO辅助规划,True,10,1.0,6738.308726230309,673.8308726230309,0.709187500000553,all_cleared,,,5964.308726230308,635.0,89.0,50.0
