seed,source_count,cleared_count,source_sha256,actual_all_cleared,clearance_ratio,raw_time_per_source_s,privileged_truth,all_cleared,audit_passed,total_time_s,per_source_s,program_runtime_s,full_scan_count,failure,termination_reason,movement_s,measurement_s,switching_s,clearance_s
280001000,12,12,398cf089f6421146ebea13af1ea5a36b28e3aff73979d0cd57a8078529ba2601,True,1.0,1254.115542005705,False,True,True,15049.38650406846,1254.115542005705,1.36264970000002,65,,all_cleared,11386.386504068469,3060.0,543.0,60.0
280001001,12,12,e0ff078e969555ff0799c1d2f59aa8ca47864f49f4a49379c3105ed52372ae4f,True,1.0,1230.4851641446128,False,True,True,14765.821969735354,1230.4851641446128,1.060982899999999,65,,all_cleared,11049.821969735363,3100.0,553.0,63.0
280001002,12,12,3b07dd5c517822876cd37aef88127c0db7307edefc35e74dffeba4cf78b3f4a3,True,1.0,1224.8657483734207,False,True,True,14698.38898048105,1224.8657483734207,1.078670099999954,65,,all_cleared,11044.38898048106,3045.0,546.0,63.0
280001003,12,12,9ceea8a8e501da1f6beeee4a861c03e1b3944cb10198287de7e034b486c78428,True,1.0,1258.1665092194442,False,True,True,15097.99811063333,1258.1665092194442,1.3182080000001406,65,,all_cleared,11380.99811063334,3100.0,554.0,63.0
280001004,12,12,3fdd42b2fefea21bc49b8e56ae2b4e72d9fa59e6ed402508c52a0ee1612d7a77,True,1.0,1211.6816262853802,False,True,True,14540.179515424563,1211.6816262853802,1.1849640000000363,65,,all_cleared,10745.179515424572,3170.0,565.0,60.0
280001005,12,12,74e501bbef9843805872fd3310ac534c36eb6641098a8e37297b25680ada0fbd,True,1.0,1278.0231726241818,False,True,True,15336.278071490182,1278.0231726241818,1.2494563999998718,65,,all_cleared,11473.278071490187,3230.0,573.0,60.0
280001006,12,12,4a1f4a8248e99bac5f9f6af57ac3fbe39488148980f28afd1c20c15ec32b7aa6,True,1.0,1250.5947360077396,False,True,True,15007.136832092874,1250.5947360077396,1.476157300000068,65,,all_cleared,11383.136832092883,3030.0,531.0,63.0
280001007,12,12,a3c2fed35cab26e3cce1bf1ed046b256a1d92795ae67956b2292ce6c84115aad,True,1.0,1283.905978449087,False,True,True,15406.871741389043,1283.905978449087,1.6476070999999592,65,,all_cleared,11641.871741389052,3145.0,560.0,60.0
280001008,12,12,71655caf6a4c09747b79fb399ac2fb9138b842695f31666fbf0118a108af0830,True,1.0,1179.0330393209185,False,True,True,14148.396471851021,1179.0330393209185,0.915202299999919,65,,all_cleared,10531.396471851032,3015.0,536.0,66.0
280001009,12,12,f4533632f287b0709716f14237a42ab02436f03a5f0f38ce2d263cea5712380b,True,1.0,1223.6063654493585,False,True,True,14683.2763853923,1223.6063654493585,1.562077699999918,65,,all_cleared,10804.27638539231,3245.0,574.0,60.0
