mode,strategy,source_count,seed,all_cleared,cleared_count,clearance_ratio,per_source_s,total_time_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
previous,对照组_上一版联合路线,10,70260930,True,10,1.0,347.39537250242387,3473.953725024239,0.4761456999985967,all_cleared,,,2534.953725024239,750.0,139.0,50.0
route_pool,实验组_第二版路线候选池,10,70260930,True,10,1.0,330.08733615774986,3300.8733615774986,1.5487968000015826,all_cleared,,,2440.8733615774986,680.0,130.0,50.0
previous,对照组_上一版联合路线,10,70260931,True,10,1.0,306.15475552434117,3061.547555243412,0.4049771999998484,all_cleared,,,2265.5475552434114,630.0,116.0,50.0
route_pool,实验组_第二版路线候选池,10,70260931,True,10,1.0,318.2536753552698,3182.5367535526984,1.269565299997339,all_cleared,,,2357.5367535526984,655.0,120.0,50.0
previous,对照组_上一版联合路线,12,70261912,True,12,1.0,268.47968676256306,3221.756241150757,0.32971839999663644,all_cleared,,,2383.756241150757,655.0,123.0,60.0
route_pool,实验组_第二版路线候选池,12,70261912,True,12,1.0,268.77879929846046,3225.3455915815257,0.9638616999945953,all_cleared,,,2398.3455915815257,645.0,122.0,60.0
previous,对照组_上一版联合路线,12,70261913,True,12,1.0,264.2525682036034,3171.030818443241,0.4553251999968779,all_cleared,,,2333.0308184432415,655.0,123.0,60.0
route_pool,实验组_第二版路线候选池,12,70261913,True,12,1.0,267.90004031780467,3214.8004838136562,1.3276641000047675,all_cleared,,,2451.8004838136562,590.0,113.0,60.0
previous,对照组_上一版联合路线,12,70261914,True,12,1.0,247.09528114554723,2965.143373746567,0.4000739000039175,all_cleared,,,2058.143373746566,710.0,137.0,60.0
route_pool,实验组_第二版路线候选池,12,70261914,True,12,1.0,242.31787176573764,2907.8144611888515,1.3136302000057185,all_cleared,,,2166.8144611888515,570.0,111.0,60.0
previous,对照组_上一版联合路线,12,70261915,True,12,1.0,269.30964817396193,3231.715778087543,0.4276201999964542,all_cleared,,,2351.7157780875427,690.0,130.0,60.0
route_pool,实验组_第二版路线候选池,12,70261915,True,12,1.0,280.9780016199203,3371.7360194390435,1.6430736999973306,all_cleared,,,2466.736019439043,715.0,130.0,60.0
previous,对照组_上一版联合路线,12,70261916,True,12,1.0,279.0200887632291,3348.2410651587497,0.360763800003042,all_cleared,,,2501.24106515875,665.0,122.0,60.0
route_pool,实验组_第二版路线候选池,12,70261916,True,12,1.0,274.5206189547172,3294.247427456606,1.4516175999960979,all_cleared,,,2565.2474274566057,565.0,104.0,60.0
previous,对照组_上一版联合路线,12,70261917,True,12,1.0,248.69313984535225,2984.317678144227,0.40898689999448834,all_cleared,,,2107.3176781442266,690.0,127.0,60.0
route_pool,实验组_第二版路线候选池,12,70261917,True,12,1.0,255.47294665635306,3065.6753598762366,1.0948151999982656,all_cleared,,,2215.6753598762366,665.0,125.0,60.0
previous,对照组_上一版联合路线,12,70261918,True,12,1.0,258.5608409655894,3102.7300915870733,0.3327895000038552,all_cleared,,,2251.7300915870737,665.0,126.0,60.0
route_pool,实验组_第二版路线候选池,12,70261918,True,12,1.0,246.5004925686767,2958.0059108241203,1.2222898999971221,all_cleared,,,2240.0059108241203,555.0,103.0,60.0
previous,对照组_上一版联合路线,12,70261919,True,12,1.0,294.32011170200025,3531.8413404240027,0.3480637000029674,all_cleared,,,2645.8413404240027,695.0,131.0,60.0
route_pool,实验组_第二版路线候选池,12,70261919,True,12,1.0,289.7753563802073,3477.3042765624878,1.2511229000010644,all_cleared,,,2614.304276562488,675.0,128.0,60.0
previous,对照组_上一版联合路线,12,70261920,True,12,1.0,243.83662609696069,2926.039513163528,0.3571329999977024,all_cleared,,,2162.0395131635278,595.0,109.0,60.0
route_pool,实验组_第二版路线候选池,12,70261920,True,12,1.0,234.33547082915595,2812.0256499498714,1.2283225999999559,all_cleared,,,2099.025649949871,550.0,103.0,60.0
previous,对照组_上一版联合路线,12,70261921,True,12,1.0,262.7076732834399,3152.4920794012783,0.40380549999827053,all_cleared,,,2343.4920794012783,630.0,119.0,60.0
